"","x"
"1435","SNU719"
"1436","NCC24"
"1437","NCC24"
"1438","NCC24"
"1439","SNU719"
"1440","NCC24"
"1441","SNU719"
"1442","SNU719"
"1443","SNU719"
"1444","SNU719"
"1445","NCC24"
"1446","NCC24"
"1447","SNU719"
"1448","SNU719"
"1449","NCC24"
"1450","NCC24"
"1451","SNU719"
"1452","SNU719"
"1453","SNU719"
"1454","SNU719"
"1455","NCC24"
"1456","NCC24"
"1457","SNU719"
"1458","NCC24"
"1459","SNU719"
"1460","SNU719"
"1461","SNU719"
"1462","SNU719"
"1463","SNU719"
"1464","NCC24"
"1465","SNU719"
"1466","SNU719"
"1467","SNU719"
"1468","NCC24"
"1469","SNU719"
"1470","SNU719"
"1471","SNU719"
"1472","SNU719"
"1473","SNU719"
"1474","NCC24"
"1475","SNU719"
"1476","SNU719"
"1477","NCC24"
"1478","SNU719"
"1479","NCC24"
"1480","SNU719"
"1481","SNU719"
"1482","NCC24"
"1483","NCC24"
"1484","NCC24"
"1485","SNU719"
"1486","SNU719"
"1487","SNU719"
"1488","SNU719"
"1489","SNU719"
"1490","SNU719"
"1491","SNU719"
"1492","NCC24"
"1493","NCC24"
"1494","NCC24"
"1495","NCC24"
"1496","SNU719"
